scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-43.tsv

date                     team_name                spread      implied_pts silver_pts  money_line  line_win_per             silver_win_per           roi                      1/4 kelly                
Thu 3/26 12:00 AM        Xavier                   +10         11          -19         5.81        0.17211703958691912      1.0                      4.81                     0.25                     
Thu 3/26 12:00 AM        Arizona                  -10         -11         -19         1.166       0.8576329331046313       1.0                      0.16599999999999993      0.25                     
Sun 3/22 02:15 PM        Kansas                   -1          0           -1          1.943       0.514668039114771        0.569568177733           0.10667096933521891      0.02827968434125634      
Sun 3/22 04:45 PM        Oregon                   +12         14          13          8.4         0.11904761904761904      0.131027704932           0.10063272142880009      0.003399754102324327     
Sun 3/22 06:40 PM        Louisville               +2          2           1           2.24        0.4464285714285714       0.465596720231           0.04293665331744023      0.008656583330129078     
Sun 3/22 03:10 PM        Dayton                   +4          4           4           2.719       0.3677822728944465       0.375138399829           0.020001309135050938     0.0029088582220841972    
Sun 3/22 04:10 PM        Gonzaga                  -6          -6          -6          1.4         0.7142857142857143       0.728240033071           0.01953604629939998      0.01221002893712499      
Sun 3/22 05:40 PM        West Virginia            -1.5        -1          -1          1.833       0.5455537370430987       0.547306147488           0.003212168345503974     0.0009640361180984316    
Mon 3/23 07:00 PM        Seattle U                +4.5        4           22          2.719       0.3677822728944465       0                        0                        0                        
Mon 3/23 07:00 PM        Colorado                 -4.5        -4          22          1.512       0.6613756613756614       0                        0                        0                        
Mon 3/23 05:00 PM        Loyola Chicago           -5.5        -5          22          1.425       0.7017543859649122       0                        0                        0                        
Mon 3/23 05:00 PM        Oral Roberts             +5.5        5           22          3.05        0.3278688524590164       0                        0                        0                        
Mon 3/23 04:00 PM        Mercer                   -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 04:00 PM        Ul Monroe                +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Mon 3/23 04:00 PM        Vermont                  -7          -7          22          1.307       0.7651109410864576       0                        0                        0                        
Mon 3/23 04:00 PM        Radford                  +7          7           22          3.78        0.2645502645502646       0                        0                        0                        
Mon 3/23 06:00 PM        Tulsa                    -4          -3          22          1.555       0.6430868167202572       0                        0                        0                        
Mon 3/23 06:00 PM        Murray State             +4          3           22          2.59        0.3861003861003861       0                        0                        0                        
Mon 3/23 04:00 PM        Cleveland State          -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 05:00 PM        Illinois State           +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Mon 3/23 04:00 PM        Texas A&M                -4.5        -4          22          1.512       0.6613756613756614       0                        0                        0                        
Mon 3/23 04:00 PM        Louisiana Tech           +4.5        4           22          2.719       0.3677822728944465       0                        0                        0                        
Mon 3/23 05:00 PM        Eastern Illinois         +2.5        2           22          2.24        0.4464285714285714       0                        0                        0                        
Sun 3/22 06:30 PM        Rhode Island             +5          5           22          2.889       0.34614053305642095      0                        0                        0                        
Sun 3/22 04:30 PM        Richmond                 -4.5        -4          22          1.476       0.6775067750677507       0                        0                        0                        
Sun 3/22 04:30 PM        Arizona State            +4.5        4           22          2.84        0.35211267605633806      0                        0                        0                        
Mon 3/23 04:00 PM        NJIT                     +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Mon 3/23 05:00 PM        Old Dominion             -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 05:00 PM        Evansville               -2.5        -2          22          1.714       0.5834305717619603       0                        0                        0                        
Mon 3/23 05:00 PM        Texas A&M Corpus         +3          2           22          2.37        0.42194092827004215      0                        0                        0                        
Mon 3/23 05:00 PM        Kent State               -3          -2          22          1.645       0.60790273556231         0                        0                        0                        
Sun 3/22 06:30 PM        Stanford                 -5          -5          22          1.462       0.6839945280437757       0                        0                        0                        
Sun 3/22 04:45 PM        Wisconsin                -12         -14         -12         1.095       0.9132420091324202       0.868972295068           -0.048475336900540025    0                        
Sun 3/22 03:10 PM        Oklahoma                 -4          -4          -3          1.512       0.6613756613756614       0.624861600171           -0.05520926054144798     0                        
Sun 3/22 05:40 PM        Maryland                 +1.5        1           2           2.07        0.48309178743961356      0.452693852512           -0.06292372530016005     0                        
Sun 3/22 06:40 PM        Northern Iowa            -2          -2          -1          1.714       0.5834305717619603       0.534403279769           -0.08403277847593393     0                        
Sun 3/22 04:10 PM        Iowa                     +6          6           7           3.18        0.31446540880503143      0.271759966929           -0.13580330516577988     0                        
Sun 3/22 02:15 PM        Wichita State            +1          0           2           1.943       0.514668039114771        0.430431822267           -0.1636709693352189      0                        
