scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-05.tsv

team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Oklahoma State           2.04                     0.49019607843137253      0.593890539342           0.21153670025768         0.050850168331173076     
Georgia                  3.05                     0.3278688524590164       0.37754810585            0.15152172284249987      0.018478258883231694     
Georgia State            4.689                    0.21326508850501172      0.241545786979           0.13260819514453104      0.008986730492310318     
UC Irvine                4.55                     0.21978021978021978      0.245142914736           0.11540026204879994      0.008126779017521122     
Utah                     1.344                    0.744047619047619        0.822513227646           0.10545777795622407      0.0766408270030698       
UAB                      11.88                    0.08417508417508417      0.0921031919474          0.09418592033511208      0.0021641985371119504    
Maryland                 1.5                      0.6666666666666666       0.724672878302           0.087009317453           0.0435046587265          
Iowa                     1.714                    0.5834305717619603       0.623859883167           0.06929583974823805      0.024263249211567948     
Ole Miss                 2.42                     0.4132231404958678       0.44148745903            0.06839965085259991      0.01204219205151407      
Northern Iowa            1.4                      0.7142857142857143       0.752684555768           0.0537583780751999       0.03359898629699994      
Cincinnati               1.934                    0.5170630816959669       0.53688702047            0.03833949758898003      0.010262178155508575     
West Virginia            1.512                    0.6613756613756614       0.682463058399           0.03188414429928804      0.01556842983363674      
North Carolina           1.184                    0.8445945945945946       0.868066821461           0.027791116609823946     0.037759669306826026     
St. John's               2.46                     0.4065040650406504       0.417615887611           0.02733508352305991      0.004680664986825327     
Kansas                   1.153                    0.8673026886383347       0.890706500186           0.026984594714457966     0.04409247502362412      
Notre Dame               1.136                    0.8802816901408451       0.899272913857           0.021574030141551945     0.03965814364255875      
North Carolina State     1.714                    0.5834305717619603       0.589299423188           0.010059211344231989     0.0035221328236106405    
Wisconsin                1.025                    0.9756097560975611       0.98533937085            0.009972855121249919     0.09972855121249954      
Wichita State            1.408                    0.7102272727272728       0.715652526737           0.007638757645695882     0.004680611302509732     
Arizona                  1.014                    0.9861932938856016       0.993295046111           0.0072011767565539585    0.12859244208132056      
Virginia                 1.045                    0.9569377990430623       0.96373165892            0.007099583571399941     0.03944213095222195      
Gonzaga                  1.029                    0.9718172983479106       0.974276799349           0.00253082653012094      0.021817470087249546     
Villanova                1.016                    0.984251968503937        0.984937649869           0.0006966522669040222    0.010885191670375337     
Northwestern State       1.757                    0.5691519635742743       0                        0                        0                        
Tenn Martin              2.17                     0.4608294930875576       0                        0                        0                        
Eastern Washington       4.359                    0.22941041523285158      0.226081898571           -0.014509004129011016    0                        
Arkansas                 1.294                    0.7727975270479134       0.760941357071           -0.015341883950126006    0                        
Southern Methodist       1.555                    0.6430868167202572       0.632356290489           -0.016685968289605058    0                        
Oklahoma                 1.09                     0.9174311926605504       0.90189781321            -0.016931383601099984    0                        
Texas                    1.8                      0.5555555555555556       0.544938133104           -0.019111360412800038    0                        
Ohio State               1.54                     0.6493506493506493       0.636068036853           -0.02045522324638005     0                        
Georgetown               1.25                     0.8                      0.773918101429           -0.032602373213750035    0                        
Butler                   2.11                     0.47393364928909953      0.455061866896           -0.0398194608494401      0                        
Iowa State               1.057                    0.946073793755913        0.907896808053           -0.04035307388797906     0                        
Virginia Commonwealth    2.63                     0.3802281368821293       0.363931963147           -0.042858936923390156    0                        
UCLA                     2.59                     0.3861003861003861       0.367643709511           -0.04780279236651008     0                        
San Diego State          1.606                    0.62266500622665         0.582384112389           -0.06469111550326595     0                        
Wofford                  3.9                      0.25641025641025644      0.239058642929           -0.06767129257689997     0                        
Louisville               1.235                    0.8097165991902834       0.754857085264           -0.06775149969895997     0                        
Baylor                   1.225                    0.8163265306122448       0.758454213021           -0.0708935890492749      0                        
LSU                      2.24                     0.4464285714285714       0.410700576812           -0.08003070794111988     0                        
Xavier                   1.625                    0.6153846153846154       0.55851254097            -0.09241712092374998     0                        
Purdue                   1.952                    0.5122950819672131       0.46311297953            -0.09600346395744003     0                        
Indiana                  3.13                     0.3194888178913738       0.284347473263           -0.10999240868681004     0                        
Michigan State           1.425                    0.7017543859649122       0.62245189415            -0.11300605083624993     0                        
Buffalo                  2.719                    0.3677822728944465       0.317536941601           -0.1366170557868811      0                        
Davidson                 2.24                     0.4464285714285714       0.376140116833           -0.15744613829407983     0                        
Albany                   8.43                     0.11862396204033215      0.0981021867898          -0.1729985653619861      0                        
Wyoming                  3.18                     0.31446540880503143      0.247315444232           -0.21353688734223997     0                        
Valparaiso               2.76                     0.3623188405797102       0.275327121698           -0.24009714411352007     0                        
Oregon                   1.854                    0.5393743257820928       0.406109460658           -0.2470730599400679      0                        
Harvard                  5.42                     0.18450184501845018      0.131933178539           -0.28492217231862005     0                        
New Mexico State         6.16                     0.16233766233766234      0.109293499814           -0.32675204114575995     0                        
Northeastern             6.68                     0.14970059880239522      0.100727086143           -0.32714306456476006     0                        
Stephen F. Austin        3.5                      0.2857142857142857       0.177486772354           -0.37879629676099996     0                        
Belmont                  13.12                    0.07621951219512195      0.0362683410801          -0.524159365029088       0                        
North Dakota State       16.57                    0.060350030175015085     0.0257232006508          -0.573766565216244       0                        
Lafayette                21.97                    0.04551661356395084      0.0150623501314          -0.6690801676131419      0                        
Coastal Carolina         18.68                    0.05353319057815846      0.0146606291499          -0.726139447479868       0                        
Texas Southern           23.14                    0.043215211754537596     0.00670495388921         -0.8448473670036806      0                        
