scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-41.tsv

date                     team_name                spread      implied_pts silver_pts  money_line  line_win_per             silver_win_per           roi                      1/4 kelly                
Thu 3/26 12:00 AM        Xavier                   +10         11          -19         5.81        0.17211703958691912      1.0                      4.81                     0.25                     
Thu 3/26 12:00 AM        Arizona                  -10         -11         -19         1.166       0.8576329331046313       1.0                      0.16599999999999993      0.25                     
Sun 3/22 09:10 AM        Virginia                 -5          -4          -6          1.476       0.6775067750677507       0.720910059858           0.06406324835040805      0.033646664049584066     
Sun 3/22 02:15 PM        Kansas                   -1.5        -1          -1          1.854       0.5393743257820928       0.569568177733           0.05597940151698194      0.01638741262206731      
Sun 3/22 06:40 PM        Louisville               +2.5        2           2           2.29        0.4366812227074236       0.451679046834           0.034345017249859944     0.006656011094934098     
Sun 3/22 04:45 PM        Oregon                   +12         13          13          7.74        0.12919896640826872      0.131027704932           0.014154436173680063     0.0005250161785489637    
Sun 3/22 11:40 AM        Duke                     -9.5        -11         -11         1.184       0.8445945945945946       0.84953136715            0.005845138705599939     0.007941764545652093     
Sun 3/22 03:10 PM        Dayton                   +4.5        4           4           2.67        0.37453183520599254      0.375138399829           0.0016195275434299772    0.0002424442430284397    
Mon 3/23 04:00 PM        Texas A&M                -4.5        -4          22          1.512       0.6613756613756614       0                        0                        0                        
Mon 3/23 07:00 PM        Colorado                 -4.5        -4          22          1.512       0.6613756613756614       0                        0                        0                        
Mon 3/23 05:00 PM        Loyola Chicago           -5.5        -5          22          1.425       0.7017543859649122       0                        0                        0                        
Mon 3/23 05:00 PM        Oral Roberts             +5.5        5           22          3.05        0.3278688524590164       0                        0                        0                        
Mon 3/23 04:00 PM        Mercer                   -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 04:00 PM        Ul Monroe                +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Mon 3/23 04:00 PM        Vermont                  -7.5        -8          22          1.294       0.7727975270479134       0                        0                        0                        
Mon 3/23 04:00 PM        Radford                  +7.5        8           22          3.9         0.25641025641025644      0                        0                        0                        
Mon 3/23 06:00 PM        Tulsa                    -4          -3          22          1.555       0.6430868167202572       0                        0                        0                        
Mon 3/23 06:00 PM        Murray State             +4          3           22          2.59        0.3861003861003861       0                        0                        0                        
Mon 3/23 05:00 PM        Old Dominion             -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 05:00 PM        Illinois State           +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Mon 3/23 07:00 PM        Seattle U                +4.5        4           22          2.719       0.3677822728944465       0                        0                        0                        
Mon 3/23 04:00 PM        Louisiana Tech           +4.5        4           22          2.719       0.3677822728944465       0                        0                        0                        
Sun 3/22 06:30 PM        Stanford                 -4          -3          22          1.555       0.6430868167202572       0                        0                        0                        
Sun 3/22 06:30 PM        Rhode Island             +4          3           22          2.59        0.3861003861003861       0                        0                        0                        
Sun 3/22 04:30 PM        Richmond                 -4.5        -4          22          1.512       0.6613756613756614       0                        0                        0                        
Mon 3/23 04:00 PM        NJIT                     +3.5        3           22          2.46        0.4065040650406504       0                        0                        0                        
Sun 3/22 08:00 AM        Temple                   -4          -3          22          1.555       0.6430868167202572       0                        0                        0                        
Sun 3/22 08:00 AM        Geo Washington           +4          3           22          2.59        0.3861003861003861       0                        0                        0                        
Mon 3/23 05:00 PM        Texas A&M Corpus         +3          2           22          2.37        0.42194092827004215      0                        0                        0                        
Mon 3/23 05:00 PM        Kent State               -3          -2          22          1.645       0.60790273556231         0                        0                        0                        
Mon 3/23 04:00 PM        Cleveland State          -3.5        -3          22          1.606       0.62266500622665         0                        0                        0                        
Mon 3/23 05:00 PM        Eastern Illinois         +2.5        2           22          2.24        0.4464285714285714       0                        0                        0                        
Mon 3/23 05:00 PM        Evansville               -2.5        -2          22          1.714       0.5834305717619603       0                        0                        0                        
Sun 3/22 04:30 PM        Arizona State            +4.5        4           22          2.719       0.3677822728944465       0                        0                        0                        
Sun 3/22 04:10 PM        Gonzaga                  -6.5        -6          -6          1.357       0.7369196757553427       0.728240033071           -0.011778275122652948    0                        
Sun 3/22 04:45 PM        Wisconsin                -12         -13         -12         1.111       0.9000900090009001       0.868972295068           -0.034571780179452005    0                        
Sun 3/22 03:10 PM        Oklahoma                 -4.5        -4          -3          1.526       0.655307994757536        0.624861600171           -0.04646119813905397     0                        
Sun 3/22 04:10 PM        Iowa                     +6.5        6           7           3.42        0.29239766081871343      0.271759966929           -0.07058091310281989     0                        
Sun 3/22 06:40 PM        Northern Iowa            -2.5        -2          -1          1.689       0.5920663114268798       0.548320953166           -0.0738859101026259      0                        
Sun 3/22 02:15 PM        Wichita State            +1.5        1           2           2.04        0.49019607843137253      0.430431822267           -0.12191908257531991     0                        
Sun 3/22 11:40 AM        San Diego State          +9.5        11          12          5.41        0.18484288354898337      0.15046863285            -0.18596469628149992     0                        
Sun 3/22 09:10 AM        Michigan State           +5          4           7           2.84        0.35211267605633806      0.279089940142           -0.20738456999672006     0                        
