scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-09.tsv

date                     team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Fri 3/20 03:50 PM        Oklahoma State           2.12                     0.4716981132075471       0.593890539342           0.25904794340504         0.05782320165291071      
Fri 3/20 09:40 AM        Georgia                  3.13                     0.3194888178913738       0.37754810585            0.18172557131049993      0.021329292407335675     
Fri 3/20 06:55 PM        Dayton                   2.42                     0.4132231404958678       0.48638736493            0.17705742313060002      0.03117208153707747      
Fri 3/20 01:10 PM        UC Irvine                4.55                     0.21978021978021978      0.255024750679           0.16036261558944986      0.011293141942919005     
Fri 3/20 01:40 PM        Maryland                 1.555                    0.6430868167202572       0.71732975654            0.11544777141969992      0.05200350063950447      
Fri 3/20 04:20 PM        Iowa                     1.735                    0.5763688760806917       0.623859883167           0.08239689729474509      0.0280261555424303       
Fri 3/20 06:40 PM        St. John's               2.59                     0.3861003861003861       0.417615887611           0.08162514891248995      0.012834142910768861     
Thu 3/19 04:25 PM        Utah                     1.312                    0.7621951219512195       0.822513227646           0.07913735467155203      0.06341134188425643      
Fri 3/20 10:40 AM        Northern Iowa            1.4                      0.7142857142857143       0.752684555768           0.0537583780751999       0.03359898629699994      
Thu 3/19 04:20 PM        North Carolina           1.21                     0.8264462809917356       0.860863804632           0.04164520360471993      0.04957762333895231      
Fri 3/20 11:10 AM        West Virginia            1.512                    0.6613756613756614       0.682463058399           0.03188414429928804      0.01556842983363674      
Thu 3/19 04:10 PM        Purdue                   2.219                    0.45065344749887337      0.46311297953            0.027647701577069972     0.005670160290621406     
Fri 3/20 09:15 AM        Kansas                   1.153                    0.8673026886383347       0.889897491993           0.026051808267928966     0.04256831416328262      
Thu 3/19 01:50 PM        Ohio State               1.595                    0.6269592476489029       0.636068036853           0.014528518780534905     0.006104419655686935     
Thu 3/19 06:20 PM        North Carolina State     1.714                    0.5834305717619603       0.589299423188           0.010059211344231989     0.0035221328236106405    
Fri 3/20 06:20 PM        Wisconsin                1.025                    0.9756097560975611       0.984445020667           0.009056146183674927     0.0905614618367496       
Fri 3/20 06:50 PM        Gonzaga                  1.029                    0.9718172983479106       0.974276799349           0.00253082653012094      0.021817470087249546     
