scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-34.tsv

date                     team_name                spread      implied_pts silver_pts  money_line  line_win_per             silver_win_per           roi                      1/4 kelly                
Sun 3/22 09:10 AM        Virginia                 -5          -4          -6          1.476       0.6775067750677507       0.720910059858           0.06406324835040805      0.033646664049584066     
Sun 3/22 02:15 PM        Kansas                   -1.5        -1          -1          1.854       0.5393743257820928       0.569568177733           0.05597940151698194      0.01638741262206731      
Sat 3/21 04:10 PM        Villanova                -9.5        -10         -12         1.2         0.8333333333333334       0.871761048316           0.046113257979199934     0.05764157247399993      
Sat 3/21 04:45 PM        Utah                     -4.5        -4          -5          1.487       0.6724949562878278       0.702749521652           0.04498853869652408      0.023094732390412768     
Sat 3/21 05:40 PM        North Carolina           -4.5        -4          -5          1.5         0.6666666666666666       0.693802159261           0.04070323889149996      0.02035161944574998      
Sun 3/22 06:40 PM        Louisville               +2.5        2           2           2.29        0.4366812227074236       0.451679046834           0.034345017249859944     0.006656011094934098     
Sat 3/21 03:10 PM        Xavier                   -6          -6          -6          1.4         0.7142857142857143       0.72556421095            0.01578989532999997      0.009868684581249983     
Sun 3/22 04:45 PM        Oregon                   +12         13          13          7.74        0.12919896640826872      0.131027704932           0.014154436173680063     0.0005250161785489637    
Sun 3/22 04:10 PM        Gonzaga                  -5.5        -6          -6          1.384       0.7225433526011561       0.728240033071           0.007884205770263997     0.005132946465015624     
Sun 3/22 11:40 AM        Duke                     -9.5        -11         -11         1.184       0.8445945945945946       0.84953136715            0.005845138705599939     0.007941764545652093     
Sun 3/22 03:10 PM        Dayton                   +4.5        4           4           2.67        0.37453183520599254      0.375138399829           0.0016195275434299772    0.0002424442430284397    
Sat 3/21 07:00 PM        Sacramento State         -3.5        -3          22          1.588       0.6297229219143576       0                        0                        0                        
Sat 3/21 07:00 PM        Northern Arizona         +3.5        3           22          2.5         0.4                      0                        0                        0                        
Sat 3/21 03:00 PM        Tenn Martin              +3.5        3           22          2.5         0.4                      0                        0                        0                        
Sat 3/21 03:00 PM        USC Upstate              -3.5        -3          22          1.588       0.6297229219143576       0                        0                        0                        
Sat 3/21 06:40 PM        Butler                   +3.5        3           3           2.48        0.40322580645161293      0.402112826897           -0.0027601892954399743   0                        
Sat 3/21 02:15 PM        Ohio State               +10         10          11          5.29        0.1890359168241966       0.186791192946           -0.011874589315659989    0                        
Sat 3/21 02:15 PM        Arizona                  -10         -10         -9          1.19        0.8403361344537815       0.813208807054           -0.03228151960574005     0                        
Sun 3/22 04:45 PM        Wisconsin                -12         -13         -12         1.111       0.9000900090009001       0.868972295068           -0.034571780179452005    0                        
Sat 3/21 06:40 PM        Notre Dame               -3.5        -3          -2          1.598       0.6257822277847309       0.597887173103           -0.04457629738140595     0                        
Sun 3/22 03:10 PM        Oklahoma                 -4.5        -4          -3          1.526       0.655307994757536        0.624861600171           -0.04646119813905397     0                        
Sun 3/22 06:40 PM        Northern Iowa            -2.5        -2          -1          1.689       0.5920663114268798       0.548320953166           -0.0738859101026259      0                        
Sun 3/22 04:10 PM        Iowa                     +5.5        6           7           3.26        0.3067484662576687       0.271759966929           -0.11406250781145999     0                        
Sun 3/22 02:15 PM        Wichita State            +1.5        1           2           2.04        0.49019607843137253      0.430431822267           -0.12191908257531991     0                        
Sat 3/21 03:10 PM        Georgia State            +6          6           7           3.18        0.31446540880503143      0.27443578905            -0.12729419082100002     0                        
Sat 3/21 05:40 PM        Arkansas                 +4.5        4           6           2.76        0.3623188405797102       0.306197840739           -0.15489395956036        0                        
Sat 3/21 04:45 PM        Georgetown               +4.5        4           6           2.8         0.35714285714285715      0.297250478348           -0.16769866062560002     0                        
Sun 3/22 11:40 AM        San Diego State          +9.5        11          12          5.41        0.18484288354898337      0.15046863285            -0.18596469628149992     0                        
Sun 3/22 09:10 AM        Michigan State           +5          4           7           2.84        0.35211267605633806      0.279089940142           -0.20738456999672006     0                        
Sat 3/21 04:10 PM        North Carolina State     +9.5        10          13          5.11        0.19569471624266144      0.128238951684           -0.34469895689475993     0                        
