scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-18.tsv

date                     team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Fri 3/20 03:50 PM        Oklahoma State           2.12                     0.4716981132075471       0.593890539342           0.25904794340504         0.05782320165291071      
Fri 3/20 09:40 AM        Georgia                  3.24                     0.30864197530864196      0.37754810585            0.22325586295400002      0.024916948990401786     
Fri 3/20 06:55 PM        Dayton                   2.49                     0.4016064257028112       0.48638736493            0.21110453867570012      0.035420224610016794     
Fri 3/20 01:10 PM        UC Irvine                4.55                     0.21978021978021978      0.255024750679           0.16036261558944986      0.011293141942919005     
Fri 3/20 04:20 PM        Iowa                     1.769                    0.5652911249293386       0.623859883167           0.10360813332242297      0.03368274815423374      
Fri 3/20 06:40 PM        St. John's               2.59                     0.3861003861003861       0.417615887611           0.08162514891248995      0.012834142910768861     
Fri 3/20 01:40 PM        Maryland                 1.487                    0.6724949562878278       0.71732975654            0.06666934797498003      0.034224511280790564     
Fri 3/20 09:15 AM        Kansas                   1.181                    0.8467400508044031       0.889897491993           0.05096893804373298      0.07039908569576377      
Fri 3/20 10:40 AM        Northern Iowa            1.387                    0.7209805335255948       0.752684555768           0.043973478850215963     0.028406640084118837     
Fri 3/20 06:20 PM        Wisconsin                1.025                    0.9756097560975611       0.984445020667           0.009056146183674927     0.0905614618367496       
Fri 3/20 11:10 AM        West Virginia            1.469                    0.6807351940095303       0.682463058399           0.0025382327881310895    0.0013530025523086828    
Fri 3/20 06:50 PM        Gonzaga                  1.029                    0.9718172983479106       0.974276799349           0.00253082653012094      0.021817470087249546     
Fri 3/20 12:10 PM        Virginia                 1.04                     0.9615384615384615       0.96373165892            0.0022809252768000443    0.014255782980000265     
Fri 3/20 11:45 AM        Wichita State            1.4                      0.7142857142857143       0.715652526737           0.0019135374317998943    0.0011959608948749342    
Fri 3/20 06:30 PM        Vanderbilt               1.25                     0.8                      0                        0                        0                        
Fri 3/20 04:00 PM        High Point               2.59                     0.3861003861003861       0                        0                        0                        
Fri 3/20 06:30 PM        South Dakota State       4.359                    0.22941041523285158      0                        0                        0                        
Fri 3/20 04:00 PM        Eastern Kentucky         1.555                    0.6430868167202572       0                        0                        0                        
Fri 3/20 04:10 PM        Duke                     1.014                    0.9861932938856016       0.981596636733           -0.004661010352737971    0                        
Fri 3/20 04:25 PM        Oklahoma                 1.083                    0.9233610341643583       0.90189781321            -0.02324466829357008     0                        
Fri 3/20 04:25 PM        Albany                   9.43                     0.10604453870625663      0.0981021867898          -0.07489637857218612     0                        
Fri 3/20 01:10 PM        Louisville               1.235                    0.8097165991902834       0.744975249321           -0.07995556708856491     0                        
Fri 3/20 11:10 AM        Buffalo                  2.87                     0.3484320557491289       0.317536941601           -0.08866897760513004     0                        
Fri 3/20 06:40 PM        San Diego State          1.555                    0.6430868167202572       0.582384112389           -0.09439270523510501     0                        
Fri 3/20 11:45 AM        Indiana                  3.18                     0.31446540880503143      0.284347473263           -0.09577503502366003     0                        
Fri 3/20 09:40 AM        Michigan State           1.387                    0.7209805335255948       0.62245189415            -0.13665922281394996     0                        
Fri 3/20 06:55 PM        Providence               1.595                    0.6269592476489029       0.51361263507            -0.18078784706335005     0                        
Fri 3/20 04:20 PM        Davidson                 2.16                     0.4629629629629629       0.376140116833           -0.18753734764071983     0                        
Fri 3/20 10:40 AM        Wyoming                  3.24                     0.30864197530864196      0.247315444232           -0.1986979606883199      0                        
Fri 3/20 01:40 PM        Valparaiso               2.8                      0.35714285714285715      0.28267024346            -0.208523318312          0                        
Fri 3/20 03:50 PM        Oregon                   1.793                    0.5577244841048522       0.406109460658           -0.271845737040206       0                        
Fri 3/20 09:15 AM        New Mexico State         5.47                     0.18281535648994515      0.110102508007           -0.3977392812017101      0                        
Fri 3/20 12:10 PM        Belmont                  14.79                    0.0676132521974307       0.0362683410801          -0.463591235425321       0                        
Fri 3/20 06:50 PM        North Dakota State       16.57                    0.060350030175015085     0.0257232006508          -0.573766565216244       0                        
Fri 3/20 04:10 PM        Robert Morris            23.14                    0.043215211754537596     0.0184033632666          -0.574146174010876       0                        
Fri 3/20 06:20 PM        Coastal Carolina         18.68                    0.05353319057815846      0.0155549793334          -0.709432986052088       0                        
