scraping from urls:
https://www.pinnaclesports.com/League/Basketball/NCAA/1/Lines.aspx
https://raw.githubusercontent.com/fivethirtyeight/data/master/march-madness-predictions-2015/mens/bracket-19.tsv

date                     team_name                money_line               line_win_per             silver_win_per           roi                      1/4 kelly                
Fri 3/20 09:40 AM        Georgia                  3.26                     0.3067484662576687       0.37754810585            0.2308068250709998       0.025531728437057505     
Fri 3/20 06:40 PM        St. John's               2.76                     0.3623188405797102       0.417615887611           0.1526198498063599       0.021678955938403396     
Fri 3/20 03:50 PM        Oklahoma State           1.917                    0.5216484089723527       0.593890539342           0.13848816391861396      0.037755769879665745     
Fri 3/20 01:10 PM        UC Irvine                4.4                      0.22727272727272727      0.255024750679           0.12210890298760002      0.008978595807911766     
Sat 3/21 07:45 PM        Utah                     1.555                    0.6430868167202572       0.709116140418           0.1026755983499899       0.046250269527022485     
Fri 3/20 06:55 PM        Dayton                   2.219                    0.45065344749887337      0.48638736493            0.07929356277966992      0.0162620104142063       
Sat 3/21 09:10 AM        UAB                      3.18                     0.31446540880503143      0.334348322079           0.06322766421122006      0.007250878923305052     
Fri 3/20 01:40 PM        Maryland                 1.476                    0.6775067750677507       0.71732975654            0.05877872065303996      0.03087117681357141      
Fri 3/20 09:15 AM        Kansas                   1.181                    0.8467400508044031       0.889897491993           0.05096893804373298      0.07039908569576377      
Sat 3/21 04:10 PM        Villanova                1.2                      0.8333333333333334       0.875217659775           0.05026119172999996      0.06282648966249997      
Sat 3/21 06:40 PM        Butler                   2.78                     0.3597122302158274       0.375343398017           0.04345464648725994      0.006103180686412913     
Sat 3/21 03:00 PM        Georgia State            3.42                     0.29239766081871343      0.304786494311           0.0423698105436201       0.004377046543762407     
Fri 3/20 10:40 AM        Northern Iowa            1.357                    0.7369196757553427       0.752684555768           0.021392942177175966     0.014981051944801097     
Sat 3/21 06:40 PM        North Carolina           1.512                    0.6613756613756614       0.673780947904           0.018756793230848        0.00915859044475         
Fri 3/20 04:20 PM        Iowa                     1.625                    0.6153846153846154       0.623859883167           0.013772310146375033     0.005508924058550013     
Fri 3/20 06:50 PM        Gonzaga                  1.04                     0.9615384615384615       0.974276799349           0.013247871322960056     0.08279919576850027      
Fri 3/20 06:20 PM        Wisconsin                1.025                    0.9756097560975611       0.984445020667           0.009056146183674927     0.0905614618367496       
